mode,date,h,model,yhat,lo,hi
rail_komuter,2026-08-08,8,weekday_mean,12163.25,10757.450831597333,13861.847382594924
rail_komuter,2026-08-09,9,weekday_mean,11341.0,9701.807362551666,12964.046297668467
rail_komuter,2026-08-10,10,weekday_mean,23325.5,18619.96705132448,27186.217045638863
rail_komuter,2026-08-11,11,weekday_mean,23837.75,19631.716748404913,27027.749185617813
rail_komuter,2026-08-12,12,weekday_mean,23583.0,20656.29443763978,26924.614061100987
rail_komuter,2026-08-13,13,weekday_mean,22678.25,20376.983099601897,25502.410850611966
rail_komuter,2026-08-14,14,weekday_mean,24095.5,21940.338001959724,28106.547078054184
rail_komuter,2026-08-01,1,ets,12671.488118799007,11565.221196771477,13724.124395251378
rail_komuter,2026-08-02,2,ets,12322.266055037622,11011.963591967007,13738.804486279501
rail_komuter,2026-08-03,3,ets,23205.783443626107,18928.870542588622,26716.613239251485
rail_komuter,2026-08-04,4,ets,23238.03643759987,19590.224215147613,26807.655441537754
rail_komuter,2026-08-05,5,ets,21985.88916283894,18860.120765243657,24525.80360973901
rail_komuter,2026-08-06,6,ets,23007.03174363334,18826.253774941368,26059.890893120115
rail_komuter,2026-08-07,7,ets,23162.781595131277,18313.966492977583,26224.350370226795
rail_komuter,2026-08-08,8,ets,12659.319436472024,10823.678908439042,14110.014441279369
rail_komuter,2026-08-09,9,ets,12310.491849592561,10697.97050311655,14003.150837315136
rail_komuter,2026-08-10,10,ets,23183.721445029023,18450.035279310956,26802.853856144076
rail_komuter,2026-08-11,11,ets,23216.05418808262,19448.48068051078,26443.98476061603
rail_komuter,2026-08-12,12,ets,21965.19528354829,18495.66499759346,25181.140361300026
rail_komuter,2026-08-13,13,ets,22985.484997478638,20124.69101045024,26128.51993220269
rail_komuter,2026-08-14,14,ets,23141.19740357712,20735.25422757601,26537.022453993854
rail_komuter,2026-08-01,1,lgbm_nohol,12705.052626845374,11650.863544630554,13754.228384581726
rail_komuter,2026-08-02,2,lgbm_nohol,10647.721685728091,9514.800999340336,11971.865301184978
rail_komuter,2026-08-03,3,lgbm_nohol,22662.582499023683,17813.28779678133,24303.21783518273
rail_komuter,2026-08-04,4,lgbm_nohol,23119.970682550178,19021.598084606332,24827.75921824409
rail_komuter,2026-08-05,5,lgbm_nohol,23249.018819286553,19981.33689156158,25186.829660392086
rail_komuter,2026-08-06,6,lgbm_nohol,22719.114739055054,18402.029678503895,24470.844787937538
rail_komuter,2026-08-07,7,lgbm_nohol,23629.502805806453,18408.757282445804,25450.724349082735
rail_komuter,2026-08-08,8,lgbm_nohol,12768.953487361045,11140.9851001005,13952.37717756
rail_komuter,2026-08-09,9,lgbm_nohol,10677.48370014425,9249.963415872982,11710.513399007352
rail_komuter,2026-08-10,10,lgbm_nohol,22739.097688908892,18925.66713711937,24132.484711825193
rail_komuter,2026-08-11,11,lgbm_nohol,23187.28945694495,19727.61486064673,24789.44479434343
rail_komuter,2026-08-12,12,lgbm_nohol,23204.238479246425,20104.71632389454,25905.16733494056
rail_komuter,2026-08-13,13,lgbm_nohol,22678.852526746,20247.244049866997,24538.95000471809
rail_komuter,2026-08-14,14,lgbm_nohol,23494.079361659078,21188.34355186761,26219.541230977677
rail_komuter,2026-08-01,1,lgbm,12486.92235389884,11503.614984332095,13359.886866437055
rail_komuter,2026-08-02,2,lgbm,10747.4445791907,9687.614798379826,11721.745002976775
rail_komuter,2026-08-03,3,lgbm,23112.752536987296,20334.381522315052,24886.62780146915
rail_komuter,2026-08-04,4,lgbm,23308.264313474734,19772.632545851273,24650.621376082407
rail_komuter,2026-08-05,5,lgbm,23462.325246052904,20804.046560631778,25140.8465982336
rail_komuter,2026-08-06,6,lgbm,22724.330261154337,19503.181371382583,24742.325353154898
rail_komuter,2026-08-07,7,lgbm,24148.060589240555,21052.06902486822,26205.46598472878
rail_komuter,2026-08-08,8,lgbm,12467.038493159409,10796.949256077243,13691.635038938879
rail_komuter,2026-08-09,9,lgbm,10778.11754936399,9348.927444024685,11841.487889652266
rail_komuter,2026-08-10,10,lgbm,23153.130966711764,20831.08879101793,24382.52228413417
rail_komuter,2026-08-11,11,lgbm,23447.013491918224,20876.26774889972,25026.655606618093
rail_komuter,2026-08-12,12,lgbm,23244.027324290928,20547.576144675902,25171.67091411988
rail_komuter,2026-08-13,13,lgbm,22497.713031128544,20393.34944702357,24143.651649758063
rail_komuter,2026-08-14,14,lgbm,23770.87327131421,21922.12960956571,25762.227552812856
rail_komuter_utara,2026-08-01,1,seasonal_naive,19404.0,17500.20602642734,22481.638490857138
rail_komuter_utara,2026-08-02,2,seasonal_naive,20934.0,18007.047145935518,24940.654044474057
rail_komuter_utara,2026-08-03,3,seasonal_naive,17220.0,13076.842157155861,22272.47005872408
rail_komuter_utara,2026-08-04,4,seasonal_naive,17123.0,14429.24558898756,20894.00082893119
rail_komuter_utara,2026-08-05,5,seasonal_naive,15766.0,12817.374695507147,18342.131428895045
rail_komuter_utara,2026-08-06,6,seasonal_naive,20025.0,16231.134234583858,22357.73824454254
rail_komuter_utara,2026-08-07,7,seasonal_naive,22838.0,17326.60794442327,25432.507001269983
rail_komuter_utara,2026-08-08,8,seasonal_naive,19404.0,17116.342483622924,22695.553988834814
rail_komuter_utara,2026-08-09,9,seasonal_naive,20934.0,17501.46790705054,24945.986959458693
rail_komuter_utara,2026-08-10,10,seasonal_naive,17220.0,14495.859301610595,21246.404509463217
rail_komuter_utara,2026-08-11,11,seasonal_naive,17123.0,14233.334662957994,20517.701774427773
rail_komuter_utara,2026-08-12,12,seasonal_naive,15766.0,12959.645244952217,19117.80231966082
rail_komuter_utara,2026-08-13,13,seasonal_naive,20025.0,17614.929275493032,23095.834234631493
rail_komuter_utara,2026-08-14,14,seasonal_naive,22838.0,19932.75309380608,25778.033082358532
rail_komuter_utara,2026-08-01,1,weekday_mean,19134.75,17208.598791514196,21401.994076445335
rail_komuter_utara,2026-08-02,2,weekday_mean,21409.75,18437.26206844746,25070.306111481674
rail_komuter_utara,2026-08-03,3,weekday_mean,16970.0,13609.006269479687,19849.125434254896
rail_komuter_utara,2026-08-04,4,weekday_mean,15145.5,11505.965077261968,17485.284171594925
rail_komuter_utara,2026-08-05,5,weekday_mean,14680.5,12305.768442620963,16827.083184553103
rail_komuter_utara,2026-08-06,6,weekday_mean,17904.75,14821.838941800961,20091.75251584914
rail_komuter_utara,2026-08-07,7,weekday_mean,22005.75,17395.43559552242,25165.033070947116
rail_komuter_utara,2026-08-08,8,weekday_mean,19134.75,16923.26787518661,21806.83704720726
rail_komuter_utara,2026-08-09,9,weekday_mean,21409.75,18315.380068572857,24473.63983581427
rail_komuter_utara,2026-08-10,10,weekday_mean,16970.0,13546.528854651471,19778.832400125902
